,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,345474,0,0,0,0,0,303272,0,0,0,0,0,204686,0,0,0,0,0,204686,0,0,0,0,0,615376,3,0,0.75,0,0,303272,0,0,0,0,0,531435,0,0,0,0,0,506100,0,0,0,0,0,1055964,0,0,0,0,0,444270,0,0,0,0,0,318588,0,0,0,0,0,575478,0,0,0,0,0,200781,0,0,0,0,0,346461,0,0,0,0,0,609893,25,0,6.25,0,0,526379,32,0,8,0,0
1,345473.9906,0.052206911,0.006554932,0.002722085,0.000635181,0,303271.9999,0.000989575,8.34E-05,3.64E-05,6.28E-06,0,204686,1.93E-05,1.22E-06,5.49E-07,7.47E-08,0,204686,4.03E-05,2.55E-06,1.15E-06,1.57E-07,0,615374.4234,3.227883547,0.785564124,0.680446811,0.471898641,0,303271.9906,0.052251312,0.006557738,0.002723349,0.000635353,0,531434.9996,0.003178596,0.000265867,0.000116253,1.99E-05,0,506099.9992,0.0070959,0.000596968,0.000260888,4.49E-05,0,1055963.991,0.052267499,0.006558764,0.002723812,0.000635416,0,444269.9991,0.007282544,0.000611864,0.000267431,4.60E-05,0,318587.9201,0.449168447,0.055813167,0.023203472,0.005382576,0,575477.8488,0.843543355,0.105573002,0.043856623,0.010215115,0,200780.9995,0.004144293,0.00034855,0.000152328,2.62E-05,0,346460.9209,0.442108077,0.055218443,0.022943596,0.00533785,0,609879.7124,27.73383332,6.651184522,5.713917592,3.942645611,0,526362.1064,34.8636786,8.433756462,7.280690368,5.038859681,0
2,345473.96,0.106229594,0.026445684,0.009118348,0.004426442,0,303271.999,0.003937999,0.00066225,0.000250609,8.86E-05,0,204686,0.000155958,1.96E-05,7.85E-06,2.17E-06,0,204685.9999,0.000318654,4.03E-05,1.61E-05,4.49E-06,0,615372.8105,3.408386448,1.621614602,0.663340646,0.91720805,0,303271.9599,0.106582331,0.026490169,0.009136184,0.004431389,0,531434.9968,0.01303346,0.002159542,0.000819411,0.00028665,0,506099.993,0.028456892,0.004767252,0.001805282,0.00063638,0,1055963.96,0.106708598,0.026506211,0.009142608,0.004433181,0,444269.9928,0.029353989,0.004905145,0.001858346,0.000653941,0,318587.6527,0.941537204,0.229835736,0.079565008,0.038150861,0,575477.3518,1.732415866,0.428638974,0.147977813,0.071559887,0,200780.9959,0.016639183,0.002785884,0.001055079,0.000371778,0,346460.6597,0.913362612,0.225104085,0.077773999,0.03751844,0,609865.7821,30.10175006,13.93631998,5.673639443,7.714180097,0,526344.649,37.23462786,17.51632075,7.151150164,9.820252374,0
3,345473.9052,0.163457256,0.060320333,0.017652504,0.013241997,0,303271.9966,0.00893192,0.002237941,0.000744112,0.000402103,0,204685.9999,0.00053765,0.000100261,3.62E-05,1.51E-05,0,204685.9997,0.001076723,0.000203212,7.32E-05,3.09E-05,0,615371.1434,3.572369307,2.500612597,0.670527883,1.360220656,0,303271.9048,0.164655763,0.060545779,0.017733748,0.01327622,0,531434.9886,0.030405909,0.007459289,0.002493692,0.001326762,0,506099.9753,0.0650072,0.016200302,0.005394101,0.002903271,0,1055963.905,0.165077163,0.060625907,0.017762554,0.013288454,0,444269.9745,0.067381989,0.016731262,0.005576071,0.002993245,0,318587.1609,1.490070979,0.53467379,0.157749967,0.116096,0,575476.4543,2.689505872,0.983727395,0.288624249,0.21521526,0,200780.9855,0.038052803,0.009475185,0.003155556,0.001697387,0,346460.1853,1.426023153,0.518653929,0.152420894,0.113220118,0,609851.0136,32.38300813,21.80290297,5.869972375,11.54690576,0,526326.4149,39.45331638,27.1720266,7.298163956,14.61863923,0
4,345473.8236,0.224738232,0.109100159,0.027634375,0.028243881,0,303271.9916,0.016153836,0.005347017,0.001582802,0.001155801,0,204685.9995,0.001313951,0.000323337,0.000106074,5.95E-05,0,204685.999,0.002581436,0.000645053,0.000210686,0.000119694,0,615369.4119,3.733964601,3.420403495,0.689467172,1.812374271,0,303271.8225,0.227626809,0.109818913,0.027869419,0.028376963,0,531434.9715,0.056474416,0.018200499,0.005434465,0.003887356,0,506099.939,0.118350268,0.038911787,0.011543906,0.008385696,0,1055963.822,0.2286247,0.110070749,0.027951442,0.028423924,0,444269.9368,0.123244824,0.040332928,0.011983466,0.008674007,0,318586.4098,2.104536618,0.985741112,0.252966531,0.251904352,0,575475.1077,3.729798201,1.79000992,0.455290629,0.461505756,0,200780.9643,0.069351845,0.022777482,0.006759687,0.004906345,0,346459.4699,1.988499159,0.947404702,0.241610792,0.243625181,0,609835.2813,34.70873012,30.24762452,6.187345416,15.5546988,0,526307.2753,41.67706859,37.38481711,7.582112408,19.56541566,0
5,345473.7128,0.290672456,0.173884591,0.038774597,0.050284555,0,303271.9831,0.025844269,0.010579737,0.002820913,0.002597752,0,204685.9987,0.002663805,0.000809978,0.000243542,0.000171308,0,204685.9975,0.005138088,0.001591325,0.000475487,0.000339548,0,615367.6091,3.899849864,4.381327165,0.714607732,2.279393746,0,303271.71,0.296450795,0.175665188,0.039307559,0.050663568,0,531434.9413,0.092666061,0.036747643,0.009917898,0.008903286,0,506099.8761,0.190512334,0.0773776,0.020694487,0.018936301,0,1055963.709,0.298412592,0.176280314,0.039490599,0.050795579,0,444269.8712,0.199281585,0.080486954,0.021571944,0.019651374,0,318585.3639,2.793400628,1.60071912,0.363593374,0.456253202,0,575473.2644,4.864727186,2.869921624,0.643780056,0.826118933,0,200780.9274,0.111753617,0.045330637,0.012129534,0.011087636,0,346458.4855,2.607516228,1.524767224,0.34332566,0.437620335,0,609818.4887,37.14383995,39.29074555,6.574837673,19.79885722,0,526287.1372,43.98143623,48.16658093,7.941271929,24.7283943,0
6,345473.5704,0.361755334,0.255908897,0.050974721,0.080095141,0,303271.9697,0.038287143,0.01859255,0.004511299,0.00501132,0,204685.9972,0.004801667,0.001730795,0.000480672,0.000405795,0,204685.9947,0.00909926,0.003350214,0.000922804,0.000793088,0,615365.7293,4.073399059,5.384932743,0.74353213,2.764489945,0,303271.5644,0.372037632,0.259672788,0.052013814,0.080983814,0,531434.893,0.14062768,0.065852421,0.016231891,0.017496001,0,506099.7776,0.283842016,0.136625575,0.033279969,0.036696086,0,1055963.562,0.375469073,0.260954951,0.052365004,0.081289314,0,444269.7679,0.298196919,0.142606193,0.034833841,0.038205331,0,318583.9854,3.564808531,2.399366142,0.489572369,0.739320377,0,575470.8754,6.104342063,4.248571064,0.852928343,1.323078924,0,200780.8696,0.16666851,0.080103988,0.019524754,0.021502419,0,346457.203,3.289204526,2.265755003,0.457124702,0.703335904,0,609800.549,39.72393663,48.96468186,7.010674436,24.31775827,0,526265.9212,46.40566934,59.5430438,8.348909276,30.14748446,0
7,345473.3937,0.438448782,0.356527844,0.064228672,0.118375589,0,303271.9502,0.053805558,0.030118355,0.006709921,0.008715915,0,204685.9947,0.00798333,0.00331547,0.000856257,0.000841841,0,204685.9898,0.014872279,0.006325416,0.001617024,0.001622689,0,615363.7672,4.256542983,6.433412018,0.77523091,3.269794897,0,303271.3822,0.455332073,0.363662177,0.066057589,0.120200691,0,531434.821,0.202224684,0.108708554,0.024690865,0.03098682,0,506099.633,0.400979654,0.222311847,0.049759972,0.064102356,0,1055963.378,0.460871193,0.366058811,0.066665857,0.120819917,0,444269.6159,0.42303535,0.232827401,0.052294698,0.066953423,0,318582.2337,4.427099013,3.40350804,0.631647942,1.111540088,0,575467.8884,7.458390272,5.953543358,1.083061897,1.966187701,0,200780.7847,0.235682971,0.13044427,0.02922086,0.037589293,0,346455.5914,4.039651172,3.186911524,0.583353398,1.048899547,0,609781.3772,42.4719077,59.30898672,7.486269138,29.14024667,0,526243.5511,48.97312822,71.54753719,8.794048331,35.85073376,0
8,345473.1801,0.521216916,0.47721226,0.078576748,0.165838922,0,303271.9232,0.072762322,0.045976358,0.009478024,0.014069867,0,204685.9904,0.012512052,0.005863939,0.001416751,0.001586605,0,204685.982,0.022926546,0.01103085,0.002632788,0.003016926,0,615361.7173,4.450605154,7.529355124,0.809331147,3.79700813,0,303271.1597,0.547358608,0.489701012,0.081567421,0.169244663,0,531434.7185,0.279553284,0.169008166,0.035644019,0.050917555,0,506099.431,0.544858446,0.340794005,0.070634586,0.103911213,0,1055963.153,0.555791175,0.493838462,0.082546153,0.170385025,0,444269.4025,0.577187669,0.358097171,0.074529299,0.10887873,0,318580.0643,5.389086746,4.63712575,0.791011189,1.584003652,0,575464.2473,8.936871605,8.014901458,1.335276539,2.769746903,0,200780.6659,0.320560985,0.200119871,0.041518073,0.060978104,0,346453.6169,4.865189585,4.306339565,0.722773787,1.482820999,0,609760.8853,45.40543553,70.36821863,7.999054142,34.29171175,0,526219.9498,51.70046348,84.21830504,9.272850948,41.8615679,0
9,345472.9265,0.610544778,0.619552177,0.094084355,0.223234108,0,303271.8868,0.095562837,0.067082403,0.012883452,0.021474405,0,204685.9839,0.018745254,0.009759161,0.002217367,0.002781021,0,204685.9701,0.03380128,0.018107244,0.004056245,0.005217814,0,615359.5741,4.656679708,8.675651402,0.845751914,4.347690413,0,303270.8926,0.649249996,0.64012804,0.098711324,0.229145559,0,531434.578,0.374959884,0.25100222,0.049481134,0.079075656,0,506099.1586,0.718720729,0.499206667,0.096453051,0.159227581,0,1055962.881,0.661526343,0.646850848,0.100201256,0.231098873,0,444269.1135,0.764412946,0.526261653,0.10217141,0.16736608,0,318577.4288,6.460232793,6.126498164,0.969137088,2.16869545,0,575459.8917,10.55033685,10.46529087,1.611104241,3.748944737,0,200780.5056,0.423254449,0.293366714,0.056746531,0.093508247,0,346451.243,5.772561753,5.643785429,0.876394338,2.014205329,0,609738.9809,48.54041101,82.19111596,8.549264037,39.79688144,0,526195.0365,54.6017622,97.59740447,9.784757633,48.20208692,0
