,Capacity,D,F,I,R,S,T,Uncertainty
0,0,0.0,0.0,0.0,0.0,345474.0,0.0,3.0
1,0,0.0025354590170267423,0.0005678954705811288,0.05017692904562666,0.006059181087859168,345473.99134358834,0.0,3.0
2,0,0.008537613976930722,0.003974501334368427,0.10197353695690664,0.024429427178258092,345473.96317726193,0.0,3.0
3,0,0.016585495686103218,0.011927375638057517,0.15665998148224292,0.05567029205905745,345473.91281375993,0.0,3.0
4,0,0.026018876188548652,0.025497031917861204,0.21501940851506868,0.1005828426525829,345473.83797323576,0.0,3.0
5,0,0.036548277548727415,0.04546414492147241,0.2776031140922223,0.1601261219706787,345473.73649763793,0.0,3.0
6,0,0.04806566511831606,0.07248899804899624,0.3448594095163506,0.23537837460510871,345473.60620868555,0.0,3.0
7,0,0.06055287667251836,0.10719478490037458,0.4171987998271435,0.3275209012034408,345473.44483419304,0.0,3.0
8,0,0.0740421629860058,0.1502100732089027,0.49515600027110435,0.43784392465898914,345473.24995188083,0.0,3.0
9,0,0.08860289155411154,0.2021973134183698,0.5792569564593918,0.5677762915421962,345473.0189176012,0.0,3.0
10,0,0.10431291948611414,0.2638669169721092,0.6699370630414911,0.7188570660899096,345472.74888682674,0.0,3.0
11,0,0.12125565906229367,0.33598077945782334,0.7676792201620589,0.8927366796233189,345472.4368091128,0.0,3.0
12,0,0.13952144957999496,0.41935635907015434,0.8730080251528081,1.0911875720673545,345472.0794093813,0.0,3.0
13,0,0.15920804995406812,0.5148712865868568,0.9864892328398926,1.316114154536611,345471.6731694953,0.0,3.0
14,0,0.18042096380465597,0.6234682206325295,1.108730994156129,1.5695629237737942,345471.2143093533,0.0,3.0
15,0,0.20327371080901385,0.7461598928101816,1.2403851589652477,1.8537328423804358,345470.698767417,0.0,3.0
16,0,0.22788824941593996,0.8840343572358964,1.3821514777772377,2.1709864136665757,345470.12218008575,0.0,3.0
17,0,0.2543852355810771,1.038258871208866,1.534490868186398,2.523838239063561,345469.47989239666,0.0,3.0
18,0,0.2828518929307884,1.2100680219503248,1.6975632759547796,2.914869103757697,345468.7670851241,0.0,3.0
19,0,0.31335881577662045,1.4007442194298498,1.8718417632843873,3.3467206969226546,345467.9788040103,0.0,3.0
20,0,0.3410161090512673,1.6105041546657446,1.9596424639610521,3.8102687661707395,345467.12686168496,0.0,3.0
21,0,0.3642370522946378,1.836320957357653,2.058675412652925,4.296505451782914,345466.22661657515,0.0,1.9
