,c1,c2,r1,r2,w,mean effectiveness,mean time until containment,mean difference in met demand,mean difference in arrival time,mean cost per death prevented
0,0.36813067993529547,0.7497960981409446,0.7924073755854737,0.07023655589564042,0.9219024283955937,-0.7734972996369174,18.2,0.3799512985628491,578.76875,3471.9986257857236
1,0.45187956401758966,0.4985725408876389,0.7214738143788041,0.7941274521923232,0.4662212506599428,-0.8401505383811575,19.3,0.3426290122694408,963.36875,2193.065086556574
2,0.3737282642386133,0.7497960981409446,0.8725667268408945,0.09424067557381793,0.9219024283955937,-0.8060952120868745,15.5,0.291769742575125,707.025,3213.4298581772755
3,0.4960001529497246,0.6251449405599777,0.8096670468010245,0.20161504534320346,0.7069070044392967,-0.8008244576158589,17.9,0.279804888482297,754.95625,2617.9673872431317
4,0.5079260157373968,0.7418991511309512,0.9674638527327242,0.4488304774094448,0.8111433172814736,-0.8192304896699376,13.7,0.420143564864263,1032.95,2025.4794369597566
5,0.649558751422916,0.594508920154449,0.06607094548388452,0.5277799853657095,0.03180745854467866,-0.7882570717958595,22.8,0.12119221651560697,577.90625,3251.5622451603303
6,0.4556856739731009,0.5902737503362177,0.7927457656179853,0.1133966988538856,0.7232137310722464,-0.7407768744846577,20.9,0.14762100410511542,498.63125,3539.1600511926235
7,0.4493402870370806,0.3568541556885796,0.8951040709020011,0.2817640399057253,0.8439557845833906,-0.77387012816751,21.7,0.33549534540552667,661.23125,2560.993004676267
8,0.3737282642386133,0.7497960981409446,0.8849031109849507,0.09424067557381793,0.8560492479640976,-0.8089379739356856,20.6,0.2331291191781606,637.26875,3296.8262876546114
9,0.4333369496059152,0.5714844727153465,0.9733148415843256,0.1133938541734822,0.8111433172814736,-0.7345557254077555,23.8,0.16546405758983346,494.50625,3415.7853073789847
10,0.3644799170070434,0.06277555203965779,0.8023653229535118,0.4540985182762385,0.9923498504508317,-0.816685846808426,23.8,0.33815288776458313,874.58125,2193.1780957382134
11,0.4316868968477907,0.5599823280089906,0.9733409550685946,0.38593100719051604,0.017092375791492212,-0.8044428568103363,16.7,0.30129741731266113,836.7875,2288.2415562788397
12,0.37962308098470854,0.5288922922785037,0.8953220548926653,0.434856822532448,0.9065225852488917,-0.8264901871708036,15.8,0.38696170002849534,958.51875,2051.7127013613654
13,0.1811854756617659,0.37456615941376725,0.8745227962273003,0.8903708993485323,0.9514397438920995,-0.7971814942435091,19.5,0.30404642218447225,779.56875,2398.941554284907
14,0.4546478894806023,0.7497960981409446,0.8725667268408945,0.11262569743699267,0.9219024283955937,-0.8280233666276509,21.3,0.2162527095972639,733.36875,3091.54602828182
15,0.4546478894806023,0.7497960981409446,0.8725667268408945,0.11376939294316671,0.9219024283955937,-0.8251006364095831,16.5,0.2299427031648084,753.14375,3088.453809461132
16,0.649558751422916,0.6100467548431772,0.08631309273932042,0.25243556830421543,0.022802730605686675,-0.7857212204572332,19.5,0.20286082226366053,672.8,3007.7198195098995
17,0.6607634141075676,0.5022475100235888,0.012956764793665495,0.44000759204860884,0.0793407002649516,-0.696229404179886,23.4,0.4058191258728063,440.60625,3872.776079773692
18,0.649558751422916,0.6935920459049354,0.8938693158949782,0.25243556830421543,0.04408582762964604,-0.820275460472718,17.7,0.27347125831966895,829.0125,2825.3803064650156
19,0.6751741466873786,0.6248794526569472,0.8192841008793351,0.25809515231489977,0.05946350385527921,-0.8019757704582583,24.3,0.2063780274748866,710.35625,2772.1577073418684
20,0.6754615954941445,0.5591532045894358,0.03742384833559065,0.3115337800111714,0.975459263472591,-0.702899801274163,23.8,0.4223155522694679,454.39375,3805.05911474035
21,0.6754615954941445,0.5576045416578965,0.03742384833559065,0.3115337800111714,0.9588382099672729,-0.7047098648732466,23.4,0.41635259348226616,466.425,3785.8986126720397
22,0.6607634141075676,0.5288709510713883,0.6730382713880654,0.38323784122918897,0.2537608807708196,-0.805420527737102,19.1,0.29245017001441187,806.68125,2355.8620821476775
23,0.7305751271749455,0.7646163245639211,0.990169439178107,0.12160190266107648,0.7232137310722464,-0.824274950774132,19.5,0.240759722045851,731.5,3207.242848762229
24,0.649558751422916,0.5733658097566148,0.9255352972872728,0.25173102634579037,0.0598957799088248,-0.7708337202709014,25.8,0.17525192225965097,588.65625,2894.19544845952
25,0.5321895160083049,0.5932924978580506,0.990169439178107,0.12062744520916621,0.6326952440824015,-0.7536948729131621,21.3,0.16440071775950918,537.48125,3372.5319103705015
26,0.6510596677575479,0.9447073842985535,0.1071984231665064,0.42377665750935306,0.01572322708957359,-0.835878785533907,21.7,0.24029814411569023,719.04375,3218.8535166063507
27,0.11906728414667778,0.8329689208160191,0.7326989229747655,0.4409286576102011,0.8501890794043497,-0.7540450347030939,19.6,0.35623485779252384,557.08125,2871.2585454978685
28,0.6298268766138033,0.5138877795879805,0.7314843537723998,0.36467277396745296,0.852843836871899,-0.8178516420126132,16.2,0.46296572642764866,1048.75625,1882.680662348109
29,0.5079260157373968,0.7418991511309512,0.9674638527327242,0.4488304774094448,0.8813008187790413,-0.8211577929110675,17.6,0.3918868512902389,1015.31875,1939.991516565918
30,0.6221841494753687,0.5932924978580506,0.9961883612074648,0.12062744520916621,0.6326952440824015,-0.7547171689265522,21.5,0.1381508364113558,544.96875,3379.341539847627
31,0.678764693874356,0.6305838411668849,0.05526712332117713,0.25215566874329803,0.043066626280149234,-0.7834137537318188,22.1,0.19520417816723928,557.1125,3447.24233197922
32,0.678258539275919,0.5895860336564638,0.05526712332117713,0.2499652553054801,0.0355568739803398,-0.7696318113808787,23.9,0.1700867820081005,508.26875,3498.064105037955
33,0.6754809190579365,0.5288422742520301,0.012069838486925763,0.3063581764949555,0.07792609039952364,-0.685795214044697,22.8,0.51046057311273,424.3625,3923.694165878227
34,0.22041687279523706,0.5733658097566148,0.8227762013787606,0.25809515231489977,0.07660718324278587,-0.7655160489549415,23.9,0.16234796255170386,558.66875,2958.7880169122463
35,0.8667084776761459,0.5925884867863308,0.9554516301720232,0.11910324205657062,0.7540613704408021,-0.7474757694258265,24.9,0.12106513421146525,478.53125,3466.4102825541313
36,0.46386119531116554,0.2524640960598463,0.6723562034864997,0.5493671062372496,0.7281990469543359,-0.8009378013566604,23.2,0.2676959363116057,706.125,2517.4202177657853
37,0.4437201554303487,0.7106809375205738,0.9289073550237281,0.11098842383721244,0.7232137310722464,-0.803434250098648,21.8,0.18658894478051133,595.925,3352.48698780862
38,0.19914365239101295,0.2524640960598463,0.6248294943322634,0.496410655992667,0.7302614369598408,-0.7041473122977153,21.1,0.44900269715439584,502.58125,3349.541150715476
39,0.4351611238578172,0.18983761900395107,0.7243656210558551,0.5403828779281686,0.743047145673194,-0.782884212162346,21.6,0.28632650470602156,689.575,2543.9443188979285
40,0.4397425122984402,0.5897389651288971,0.7186126813294157,0.16353432638766208,0.19686880149501068,-0.7448948884697859,21.8,0.1613432773997719,517.9625,3414.4343294666933
