,Capacity,D,F,I,R,S,T,Uncertainty
25,10,8.13E-06,0.055015411,2.03E-05,0.163810195,204685.9464,0.044893086,1.25
26,10,6.18E-06,0.059405307,2.10E-05,0.178463981,204685.9464,0.046481909,1.25
0,0,0,0,0,0,204686,0,3
1,0,8.60E-07,1.13E-07,3.12E-05,1.90E-06,204686,0,3
2,0,1.21E-05,3.22E-06,0.000244697,2.98E-05,204686,0,3
3,0,5.45E-05,2.22E-05,0.00082064,0.000149597,204685.9998,0,3
4,0,0.000156179,8.56E-05,0.001952267,0.000471972,204685.9993,0,2
5,0,0.000350788,0.000241843,0.003855403,0.00115709,204685.9982,0,2
6,0,0.000677175,0.000562634,0.006774245,0.002420681,204685.9962,0,2
7,0,0.001179819,0.001146186,0.010985272,0.004541437,204685.9927,0,2
8,0,0.001908958,0.002121101,0.016789019,0.007868537,204685.9872,0,2
9,0,0.002918066,0.003649367,0.024474744,0.012822662,204685.9789,0,2
10,0,0.004226313,0.005921768,0.033330384,0.01981374,204685.9671,0,2
11,0,0.005748364,0.00910408,0.042642181,0.02899883,204685.9513,0,2
12,0,0.007435746,0.013314705,0.052607656,0.040514463,204685.9313,0,2
13,0,0.009276855,0.01865453,0.063352373,0.054534962,204685.9066,0,2
14,0,0.011275492,0.025222641,0.074974951,0.07126121,204685.877,0,2
15,0,0.013408883,0.033115659,0.086888353,0.090837392,204685.8422,0,2
16,0,0.015670363,0.042413438,0.099705542,0.113406403,204685.8017,0,1.9
17,0,0.018084502,0.053206336,0.113474412,0.139192638,204685.7553,0,1.9
18,0,0.020669205,0.065598005,0.128253721,0.168433431,204685.7026,0,1.9
19,0,0.023439714,0.079702561,0.144110196,0.201381352,204685.6429,0,1.9
20,0,0.02641051,0.095643565,0.161116949,0.238305919,204685.5759,0,1.9
21,0,0.029596205,0.113553856,0.179352385,0.279495026,204685.5011,0,1.9
22,10,0.015620359,0.142976285,2.66E-05,0.331056104,204685.485,0.14318214,1.9
23,10,0.008238668,0.162637495,2.19E-05,0.372070062,204685.4766,0.113841392,1.65
24,10,0.00434607,0.176351946,1.98E-05,0.404875085,204685.4721,0.091901393,1.5
25,10,0.002293416,0.186438331,1.91E-05,0.431707358,204685.4698,0.076375062,1.4
26,10,0.001209413,0.193578614,8.85E-07,0.451937327,204685.4686,0.051363528,1.325
0,0,0.75,0,3,0,615376,0,3
1,0,0.681893129,0.454460849,3.220276667,0.754341383,615374.4846,0,3
2,0,0.663561985,0.883239884,3.39534044,1.555725213,615372.9363,0,3
3,0,0.66894293,1.308785454,3.553725087,2.397092771,615371.3389,0,3
4,0,0.686054253,1.741946237,3.70886499,3.276231855,615369.6828,0,3
